store_id,store_name,branch_name,category_main_code,category_main,category_mid_code,category_mid,category_sub_code,category_sub,ksic_code,ksic_name,sido,sigungu,dong,legal_dong,address,road_address,longitude,latitude
MA010120220803822554,달빛정원스튜디오,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,경상북도,포항시 남구,연일읍,연일읍,경상북도 포항시 남구 연일읍 생지리 325-1,경상북도 포항시 남구 연일읍 연일로159번길 14,129.345291351468,35.9964541246097
MA010120220809181422,한국리더스공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,경상북도,포항시 북구,죽도동,죽도동,경상북도 포항시 북구 죽도동 701-24,경상북도 포항시 북구 상대로 28,129.350531085631,36.0175789964334
MA010120220809195541,걸앤맨,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,경상북도,포항시 남구,송도동,송도동,경상북도 포항시 남구 송도동 493-19,경상북도 포항시 남구 축항로72번길 14,129.376479009843,36.0285279502157
MA010120220807773764,월포반점,,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,경상북도,포항시 북구,청하면,청하면,경상북도 포항시 북구 청하면 월포리 298,경상북도 포항시 북구 청하면 해안로 2346,129.369076368315,36.2016715531099
MA010120220808573676,진실공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,경상북도,포항시 남구,오천읍,오천읍,경상북도 포항시 남구 오천읍 원리 1114,경상북도 포항시 남구 오천읍 중원로 35,129.403937318839,35.9757771934368
MA010120220810617565,더심슨실내스크린,골프연습장,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,경상북도,포항시 남구,상대동,대도동,경상북도 포항시 남구 대도동 20-9,경상북도 포항시 남구 양학천로 142,129.361589258166,36.0261553300109
MA010120220813179866,고잉스테이풀빌라2,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,경상북도,포항시 남구,장기면,장기면,경상북도 포항시 남구 장기면 영암리 660-2,경상북도 포항시 남구 장기면 동해안로 3707-1,129.518582336279,35.9073650805031
MA010120220813234080,일신공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,경상북도,포항시 남구,연일읍,연일읍,경상북도 포항시 남구 연일읍 생지리 150-1,경상북도 포항시 남구 연일읍 연일로159번길 41,129.348289394074,35.9966026722373
MA010120220809194922,하얀세탁,,S2,수리·개인,S209,세탁,S20901,세탁소,S96912,가정용 세탁업,경상북도,포항시 남구,오천읍,오천읍,경상북도 포항시 남구 오천읍 문덕리 348-10,경상북도 포항시 남구 오천읍 문덕로54번길 6-6,129.402434552776,35.9583821417083
MA010120220809171157,포항실내테니스장,,R1,예술·스포츠,R103,스포츠 서비스,R10312,테니스장,R91139,그 외 기타 스포츠시설 운영업,경상북도,포항시 북구,장량동,장성동,경상북도 포항시 북구 장성동 1503-1,경상북도 포항시 북구 장량로1번길 50,129.381552260052,36.0868200238864
MA010120220807404237,으뜸짬뽕,,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,경상북도,포항시 북구,두호동,두호동,경상북도 포항시 북구 두호동 1076-8,경상북도 포항시 북구 삼흥로62번길 45,129.383515438702,36.0680225441417
MA010120220811735994,펜션푸름,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,경상북도,포항시 북구,청하면,청하면,경상북도 포항시 북구 청하면 이가리 241-5,경상북도 포항시 북구 청하면 해안로 2030,129.387453239791,36.1804938741439
MA010120220809187254,예스커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,경상북도,포항시 남구,대이동,이동,경상북도 포항시 남구 이동 652,경상북도 포항시 남구 대이로175번길 3,129.338530465551,36.0303105461449
MA010120220809164402,엄청난해장국,연일점,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,경상북도,포항시 남구,연일읍,연일읍,경상북도 포항시 남구 연일읍 동문리 342-1,경상북도 포항시 남구 연일읍 철강로41번길 60,129.349156787117,35.9963153808782
MA010120220804759129,준식품,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,경상북도,포항시 북구,죽도동,죽도동,경상북도 포항시 북구 죽도동 597-3,경상북도 포항시 북구 죽도시장4길 3-9,129.365994540554,36.0347449884815
