sigungu,dong,기타음식,분식/패스트푸드,양식/외국식,일식,주점,중식,카페/디저트,한식,total_count,기타음식_ratio,분식/패스트푸드_ratio,양식/외국식_ratio,일식_ratio,주점_ratio,중식_ratio,카페/디저트_ratio,한식_ratio
포항시 남구,오천읍,4.0,221.0,24.0,24.0,160.0,49.0,133.0,599.0,1214.0,0.0033,0.182,0.0198,0.0198,0.1318,0.0404,0.1096,0.4934
포항시 북구,장량동,4.0,224.0,35.0,36.0,112.0,43.0,180.0,460.0,1094.0,0.0037,0.2048,0.032,0.0329,0.1024,0.0393,0.1645,0.4205
포항시 북구,죽도동,2.0,120.0,3.0,14.0,190.0,17.0,72.0,394.0,812.0,0.0025,0.1478,0.0037,0.0172,0.234,0.0209,0.0887,0.4852
포항시 북구,흥해읍,5.0,162.0,13.0,14.0,78.0,27.0,127.0,372.0,798.0,0.0063,0.203,0.0163,0.0175,0.0977,0.0338,0.1591,0.4662
포항시 남구,상대동,3.0,108.0,7.0,16.0,151.0,25.0,76.0,321.0,707.0,0.0042,0.1528,0.0099,0.0226,0.2136,0.0354,0.1075,0.454
포항시 북구,중앙동,1.0,87.0,19.0,20.0,127.0,19.0,104.0,253.0,630.0,0.0016,0.1381,0.0302,0.0317,0.2016,0.0302,0.1651,0.4016
포항시 남구,대이동,4.0,87.0,19.0,23.0,81.0,21.0,85.0,259.0,579.0,0.0069,0.1503,0.0328,0.0397,0.1399,0.0363,0.1468,0.4473
포항시 북구,두호동,0.0,93.0,16.0,18.0,92.0,20.0,65.0,213.0,517.0,0.0,0.1799,0.0309,0.0348,0.1779,0.0387,0.1257,0.412
포항시 남구,해도동,0.0,55.0,6.0,1.0,122.0,13.0,40.0,238.0,475.0,0.0,0.1158,0.0126,0.0021,0.2568,0.0274,0.0842,0.5011
포항시 남구,효곡동,1.0,112.0,28.0,25.0,41.0,14.0,59.0,184.0,464.0,0.0022,0.2414,0.0603,0.0539,0.0884,0.0302,0.1272,0.3966
포항시 남구,연일읍,0.0,69.0,6.0,3.0,30.0,15.0,60.0,214.0,397.0,0.0,0.1738,0.0151,0.0076,0.0756,0.0378,0.1511,0.539
포항시 남구,구룡포읍,1.0,27.0,5.0,2.0,21.0,10.0,53.0,167.0,286.0,0.0035,0.0944,0.0175,0.007,0.0734,0.035,0.1853,0.5839
포항시 북구,우창동,0.0,66.0,3.0,4.0,21.0,10.0,40.0,112.0,256.0,0.0,0.2578,0.0117,0.0156,0.082,0.0391,0.1562,0.4375
포항시 남구,송도동,0.0,29.0,2.0,2.0,13.0,6.0,41.0,102.0,195.0,0.0,0.1487,0.0103,0.0103,0.0667,0.0308,0.2103,0.5231
포항시 남구,동해면,2.0,36.0,5.0,0.0,14.0,4.0,28.0,78.0,167.0,0.012,0.2156,0.0299,0.0,0.0838,0.024,0.1677,0.4671
포항시 북구,용흥동,0.0,30.0,1.0,2.0,28.0,6.0,25.0,54.0,146.0,0.0,0.2055,0.0068,0.0137,0.1918,0.0411,0.1712,0.3699
포항시 북구,양학동,0.0,34.0,3.0,3.0,12.0,6.0,24.0,50.0,132.0,0.0,0.2576,0.0227,0.0227,0.0909,0.0455,0.1818,0.3788
포항시 북구,청하면,1.0,12.0,0.0,0.0,5.0,4.0,22.0,74.0,118.0,0.0085,0.1017,0.0,0.0,0.0424,0.0339,0.1864,0.6271
포항시 북구,송라면,2.0,6.0,1.0,1.0,5.0,4.0,27.0,65.0,111.0,0.018,0.0541,0.009,0.009,0.045,0.036,0.2432,0.5856
포항시 남구,제철동,25.0,9.0,3.0,0.0,1.0,4.0,12.0,52.0,106.0,0.2358,0.0849,0.0283,0.0,0.0094,0.0377,0.1132,0.4906
포항시 북구,기계면,0.0,13.0,3.0,0.0,3.0,2.0,35.0,49.0,105.0,0.0,0.1238,0.0286,0.0,0.0286,0.019,0.3333,0.4667
포항시 북구,환여동,0.0,20.0,3.0,3.0,5.0,1.0,26.0,42.0,100.0,0.0,0.2,0.03,0.03,0.05,0.01,0.26,0.42
포항시 남구,장기면,0.0,8.0,0.0,0.0,5.0,6.0,26.0,48.0,93.0,0.0,0.086,0.0,0.0,0.0538,0.0645,0.2796,0.5161
포항시 남구,청림동,0.0,8.0,1.0,0.0,4.0,6.0,10.0,62.0,91.0,0.0,0.0879,0.011,0.0,0.044,0.0659,0.1099,0.6813
포항시 남구,대송면,8.0,10.0,0.0,0.0,2.0,6.0,8.0,45.0,79.0,0.1013,0.1266,0.0,0.0,0.0253,0.0759,0.1013,0.5696
포항시 남구,호미곶면,0.0,4.0,0.0,0.0,2.0,4.0,15.0,38.0,63.0,0.0,0.0635,0.0,0.0,0.0317,0.0635,0.2381,0.6032
포항시 북구,죽장면,1.0,5.0,1.0,0.0,4.0,2.0,7.0,24.0,44.0,0.0227,0.1136,0.0227,0.0,0.0909,0.0455,0.1591,0.5455
포항시 북구,신광면,0.0,5.0,0.0,0.0,1.0,2.0,5.0,26.0,39.0,0.0,0.1282,0.0,0.0,0.0256,0.0513,0.1282,0.6667
포항시 북구,기북면,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,9.0,0.0,0.1111,0.1111,0.0,0.0,0.1111,0.3333,0.3333
