store_id,store_name,branch_name,category_main_code,category_main,category_mid_code,category_mid,category_sub_code,category_sub,category_group,sido,sigungu,dong,legal_dong,address,road_address,longitude,latitude
MA0101202409A0224260,3.9소주방,,I2,음식,I201,한식,I20101,백반/한정식,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 448-12,경상북도 포항시 남구 구룡포읍 구룡포길 112-3,129.55772592623,35.9920653364839
MA010120220809155560,가고파전복도매점,,I2,음식,I201,한식,I20104,전/부침개,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 199-67,경상북도 포항시 남구 구룡포읍 호미로 331,129.566034032531,35.990148963636
MA0101202406A0441123,가람,,I2,음식,I201,한식,I20101,백반/한정식,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 952-7,경상북도 포항시 남구 구룡포읍 구룡포길 112-4,129.557510195373,35.9919077667715
MA0101202411A0147891,가인,,I2,음식,I201,한식,I20101,백반/한정식,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 403-8,경상북도 포항시 남구 구룡포읍 구룡포길 126,129.558736173815,35.9914221208004
MA010120220804970782,간이역,,I2,음식,I211,주점,I21104,요리 주점,주점,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 704-3,경상북도 포항시 남구 구룡포읍 구룡포길 85-1,129.55513767785,35.9912195704992
MA0101202406A0484989,강두기수산,,I2,음식,I201,한식,I20101,백반/한정식,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 병포리 364-8,경상북도 포항시 남구 구룡포읍 호미로 20,129.537547573558,35.9802680929322
MA0101202406A0201636,강원수산,,I2,음식,I201,한식,I20111,횟집,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 971-2,경상북도 포항시 남구 구룡포읍 호미로 285,129.561283130654,35.9903046097632
MA010120220809165442,거제숯불갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 949-1,경상북도 포항시 남구 구룡포읍 호미로 257,129.558457171137,35.9913650081748
MA0106202509A2299409,게좋은강룡호,,I2,음식,I201,한식,I20101,백반/한정식,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 병포리 469-30,경상북도 포항시 남구 구룡포읍 호미로 32-9,129.538468254336,35.9799422787471
MA010120220809170033,경주회식당,,I2,음식,I201,한식,I20111,횟집,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 삼정리 381,경상북도 포항시 남구 구룡포읍 일출로62번길 9-19,129.570879133017,36.0034783543626
MA010120220806647479,고래등단란주점,,I2,음식,I211,주점,I21104,요리 주점,주점,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 705-3,경상북도 포항시 남구 구룡포읍 석문길 1,129.554768596342,35.9911193211573
MA010120220810158702,고맛집왕갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 844,경상북도 포항시 남구 구룡포읍 구룡포길57번길 85,129.54683747147,35.9951171316175
MA010120220806437158,고미곰탕,,I2,음식,I201,한식,I20102,국/탕/찌개류,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 석병리 685-3,경상북도 포항시 남구 구룡포읍 땅끝마을길 63,129.582159819604,36.0172005768924
MA010120220803826561,고은소주방,,I2,음식,I211,주점,I21104,요리 주점,주점,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 947-8,경상북도 포항시 남구 구룡포읍 호미로 257-2,129.558598575151,35.9912809046007
MA010120220809197117,광일회식당,,I2,음식,I201,한식,I20111,횟집,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 223-2,경상북도 포항시 남구 구룡포읍 호미로 304,129.56323148612,35.9898755604661
MA0101202303A0058732,교촌치킨구룡포점,,I2,음식,I210,기타 간이,I21006,치킨,분식/패스트푸드,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 777-55,경상북도 포항시 남구 구룡포읍 호미로221번길 34-1,129.551682431647,35.9885812800409
MA010120220809156972,구:호호면옥,,I2,음식,I201,한식,I20106,냉면/밀면,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 249-50,경상북도 포항시 남구 구룡포읍 구룡포길 141,129.560267080282,35.9911101421182
MA010120220812121778,구룡가옥,,I2,음식,I212,비알코올 ,I21201,카페,카페/디저트,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 249-34,경상북도 포항시 남구 구룡포읍 구룡포길 145-2,129.560758628756,35.9908834150356
MA0106202512A1632087,구룡반점,,I2,음식,I202,중식,I20201,중국집,중식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 460-17,경상북도 포항시 남구 구룡포읍 구룡포길 92-1,129.555830075717,35.9913759935635
MA0101202501A0025660,구룡왕족발,,I2,음식,I201,한식,I20103,족발/보쌈,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구룡포리 403-14,경상북도 포항시 남구 구룡포읍 구룡포길 120,129.558434989819,35.9917078443914
MA010120220809197178,구룡장어식당,,I2,음식,I201,한식,I20112,해산물 구이/찜,한식,경상북도,포항시 남구,구룡포읍,구룡포읍,경상북도 포항시 남구 구룡포읍 구평리 724,경상북도 포항시 남구 구룡포읍 동해안로 4288,129.53791682514,35.9488797486821
